1969,772,1,1990
811,1337,1,1951
246,830,1,1983
997,300,1,1983
1328,315,1,1988
1019,351,1,1982
4183,526,1,1990
2747,167,1,1986
1829,532,2,1992
1806,659,1,1978
580,324,1,1981
1104,848,1,1979
217,1206,2,1991
2449,238,1,1974
1759,412,2,1992
2405,460,1,1990
3597,458,1,1986
1094,405,1,1969
453,956,1,1983
2341,241,2,1982
2300,644,1,1992
2834,874,1,1989
782,529,2,1986
83,489,1,1992
4524,597,1,1960
152,559,1,1988
2013,312,1,1989
1679,141,1,1993
2916,208,1,1982
865,1745,2,1987
2899,855,1,1971
1032,957,1,1972
2384,1099,2,1958
1779,830,2,1992
2789,141,1,1983
2102,920,1,1982
607,189,2,1978
322,750,1,1988
1547,1416,1,1989
1339,400,2,1992
2260,902,1,1987
1094,327,1,1969
2121,255,1,1969
600,158,1,1989
4630,980,1,1984
273,898,1,1987
2140,256,1,1988
1960,351,1,1989
440,588,1,1970
1951,214,2,1977
2232,387,1,1987
4812,860,1,1984
4224,478,2,1984
2162,1737,1,1976
2033,193,2,1986
694,1569,2,1962
2961,213,1,1987
3279,268,1,1970
3573,1207,2,1983
4168,346,1,1989
3629,477,1,1966
1812,1771,2,1991
307,653,1,1965
2002,545,1,1990
2035,721,1,1987
2761,407,1,1987
1240,1434,1,1993
85,887,1,1951
1656,1251,1,1991
955,570,1,1988
3821,113,1,1983
546,265,1,1979
2341,296,2,1982
2567,252,1,1976
3596,390,1,1993
2024,1275,1,1990
2250,678,1,1976
1415,468,2,1982
764,530,1,1985
1119,250,1,1983
152,760,1,1988
1813,946,1,1988
782,322,1,1989
2961,185,1,1987
2162,681,1,1976
2033,195,2,1986
1090,626,1,1987
622,788,1,1992
4494,250,1,1990
974,495,1,1993
4530,499,2,1991
1850,455,1,1987
3810,879,2,1986
905,301,1,1990
2139,689,1,1989
2789,1080,1,1960
2218,489,1,1983
156,166,1,1990
4275,285,1,1991
3160,470,1,1988
2202,611,1,1984
3054,919,2,1975
211,165,1,1987
2484,1165,1,1968
1203,617,1,1992
3,1055,1,1984
654,1147,2,1989
2916,249,1,1978
2279,524,1,1968
2282,111,1,1988
1455,348,1,1987
889,820,1,1954
3591,412,1,1979
2086,1910,1,1958
2130,714,1,1990
2552,470,1,1986
1656,1544,1,1991
1799,854,2,1952
1990,902,2,1979
2096,174,1,1976
1061,308,1,1988
866,351,1,1990
2688,619,2,1992
32,720,1,1981
448,312,1,1990
1962,300,1,1960
2810,182,1,1993
2902,437,2,1991
1807,204,1,1980
481,936,1,1992
2086,843,1,1958
2552,320,1,1986
1992,537,1,1996
2134,666,2,1988
1990,630,2,1978
410,677,1,1984
1656,447,1,1991
133,1308,1,1995
2369,1055,1,1990
3387,657,1,1985
2916,226,1,1978
1811,209,1,1969
49,173,1,1990
2096,178,1,1971
1003,893,1,1987
2588,194,1,1983
2874,765,1,1969
38,351,1,1981
2350,523,1,1980
2214,410,2,1968
3735,1007,1,1968
2678,760,2,1972
999,486,1,1984
2668,701,2,1982
1091,151,2,1991
2453,303,1,1988
1113,244,1,1988
481,916,1,1992
2180,2162,1,1977
3819,216,1,1989
3100,2193,2,1986
1233,563,2,1978
2357,221,1,1987
1935,553,1,1981
3032,619,2,1984
1532,585,1,1986
94,1172,1,1985
1088,1176,2,1985
159,102,1,1961
2878,637,1,1989
1048,628,1,1991
117,244,1,1983
29,151,1,1995
118,135,1,1975
1984,861,1,1976
3596,318,1,1993
1440,173,2,1986
452,381,1,1988
2357,229,1,1987
481,438,1,1992
4349,1183,1,1958
876,777,1,1985
1686,263,1,1983
2588,330,1,1983
708,765,1,1993
1188,710,1,1968
3165,240,2,1992
1593,81,1,1959
724,1356,1,1995
1945,288,1,1981
425,297,2,1989
2789,1325,1,1960
2634,196,1,1983
2400,1512,2,1973
1032,772,1,1972
1681,1056,1,1941
1002,937,1,1986
1811,403,1,1969
1590,558,2,1972
514,1289,2,1964
2746,420,2,1983
1563,618,1,1989
2350,1340,1,1980
87,437,1,1990
2931,205,2,1989
156,203,1,1990
4494,910,1,1989
38,1449,1,1981
1222,417,1,1987
4640,1715,1,1979
827,803,1,1989
2395,447,1,1990
1812,807,2,1987
1737,189,1,1987
4532,554,1,1982
83,204,1,1984
1814,811,1,1975
1399,398,1,1987
2306,389,2,1985
2552,1207,1,1986
1987,1659,2,1978
2834,626,1,1986
1984,1116,1,1976
831,317,1,1991
1299,338,1,1985
4349,308,1,1958
1182,236,1,1981
1002,585,1,1993
1866,517,1,1988
2971,369,2,1984
2096,448,1,1971
1037,714,2,1975
243,1611,1,1901
3150,618,1,1985
2793,884,1,1989
4527,446,1,1970
183,212,1,1990
2567,238,1,1976
196,469,1,1970
1003,442,2,1977
1091,669,1,1993
3029,594,1,1990
764,420,1,1975
2994,169,1,1966
1233,191,1,1960
209,809,2,1985
368,469,1,1940
2678,755,2,1972
442,348,2,1975
1423,444,2,1978
4494,774,1,1968
2967,241,1,1991
2140,366,1,1948
1547,485,1,1983
1814,553,1,1975
2480,251,1,1985
1992,398,1,1996
4033,1014,2,1969
2008,568,1,1987
4640,786,1,1979
1935,452,1,1981
1182,179,2,1964
1880,580,1,1990
2438,356,1,1987
1187,244,1,1984
897,1310,2,1989
171,532,1,1982
29,160,1,1995
410,204,2,1990
4271,936,1,1984
442,370,1,1967
431,541,1,1972
3166,758,2,1993
997,396,1,1985
339,850,1,1980
201,379,2,1989
